Credit_History,Debt_Burden,Employment_Years,Income,Loan_Amount,Down_Payment,LTV,Property_Type,Savings,Interest_Rate_Type,Marital_Status,Age,Education,Location,Recent_Credit_Activity,Will_Default
Poor,1.2928677821265702,2,22589,436493,8696.498159277382,0.9800764315595499,Primary Residence,40061.058588509724,Variable,Married,36,Masters,Rural,Moderate,1
Poor,0.8829053844758413,5,29695,436003,10211.118318558165,0.9765801650021717,Rental,15339.481968745584,Fixed,Married,30,PhD,Rural,High,1
Excellent,0.8206390712594918,14,25722,198711,-5659.715110982416,1.02848214296633,Rental,37896.551597897545,Fixed,Single,23,High School,Urban,High,0
Excellent,0.2394115989560405,11,69874,242104,15269.48323215024,0.9369300662849427,Primary Residence,25305.146471704717,Fixed,Single,35,High School,Rural,Low,0
Excellent,0.12243941903717237,4,151913,50299,25345.721434346015,0.4960988998917272,Primary Residence,6182.543548510561,Variable,Divorced,50,High School,Suburban,Low,0
Fair,1.4491592641618687,6,169803,169209,35960.15662375765,0.7874808277115423,Primary Residence,37643.33966604801,Variable,Single,40,PhD,Urban,Moderate,0
Excellent,0.6277806342015783,14,145101,440521,33783.12994459349,0.9233109660048137,Rental,32423.49679553543,Fixed,Married,52,Bachelor,Suburban,Low,0
Excellent,0.9444982869393059,6,20645,146190,7225.226681912079,0.9505764643141659,Vacation Home,4121.195386807914,Variable,Widowed,32,Bachelor,Suburban,Low,0
Excellent,0.211601102462199,12,52116,424677,14012.923377488112,0.9670033381193517,Rental,22518.43381093584,Fixed,Single,68,Bachelor,Suburban,Moderate,0
Fair,1.056360000012265,2,60983,395344,8894.80866985634,0.9775010910248888,Vacation Home,24324.735759015788,Fixed,Widowed,48,Masters,Suburban,High,0
Excellent,1.4055933921883452,12,49402,194100,7592.522099314267,0.9608834513172887,Rental,32675.604946733107,Fixed,Married,34,Bachelor,Rural,Low,0
Poor,0.9059313541963875,2,69158,75437,16795.04091294738,0.7773633507039333,Rental,33924.40662917317,Fixed,Single,29,Bachelor,Urban,Low,0
Excellent,0.27656145132557475,1,56469,54589,11648.473011909193,0.7866150137956514,Rental,9526.310767577,Variable,Widowed,52,PhD,Suburban,High,0
Poor,0.9144101384628673,3,80576,385813,8398.024872364633,0.9782329136852189,Rental,1684.9484008187976,Fixed,Divorced,34,Masters,Suburban,Low,0
Poor,1.1728860983465133,16,33908,286008,11238.681687056764,0.9607050093456939,Vacation Home,39703.64742093304,Variable,Divorced,62,PhD,Urban,Moderate,0
Poor,0.6689831512036261,5,80269,393139,8736.765206444892,0.9777769053529544,Rental,49079.734111823294,Variable,Divorced,32,PhD,Suburban,High,0
Fair,1.331772847118055,10,62231,462384,14070.018516554672,0.9695707063467709,Primary Residence,47034.36750896486,Fixed,Divorced,54,Bachelor,Urban,Low,0
Fair,1.0081561347003103,5,65221,375989,14080.543599318891,0.9625506501538107,Primary Residence,25039.98340336812,Variable,Widowed,40,High School,Urban,Low,0
Fair,1.3589484856048835,1,163787,385078,38665.287070404614,0.8995910255314388,Rental,26446.64308350916,Variable,Widowed,49,High School,Rural,Moderate,1
Excellent,0.972907435746272,16,58398,335236,10500.731156876038,0.9686766004937536,Vacation Home,46528.79514949195,Variable,Widowed,67,Masters,Urban,Moderate,0
Poor,0.28380316080675394,2,82372,302933,6329.585809604614,0.9791056576549778,Primary Residence,27207.316613453313,Variable,Widowed,65,PhD,Urban,High,0
Fair,0.5335683955472648,11,55324,193449,11781.27112203555,0.9390988264501986,Primary Residence,13883.245864609094,Variable,Divorced,62,Masters,Urban,Moderate,0
Fair,0.3825129275534397,13,170410,168847,35745.01114581395,0.7882994003694828,Primary Residence,33879.54165891517,Fixed,Widowed,61,High School,Suburban,Low,0
Excellent,1.3723570968036072,1,158459,255911,37059.92155924817,0.8551843353382692,Rental,23859.913788226582,Variable,Single,64,PhD,Urban,Moderate,0
Fair,1.1645600942024756,4,177247,403312,32809.876454234996,0.918648896005487,Primary Residence,39250.01994321068,Fixed,Married,26,PhD,Urban,Low,0
Excellent,1.0469577164740085,9,50795,96635,13674.974451340026,0.8584883898034871,Vacation Home,39165.338691068166,Variable,Single,68,Masters,Rural,High,0
Good,0.5213528474842704,9,147799,150604,34044.96833267277,0.773943797424552,Vacation Home,46797.9363527932,Variable,Widowed,43,PhD,Rural,Moderate,0
Fair,0.35766268087029895,8,150920,105402,26523.222438263052,0.7483612982840643,Vacation Home,6891.016409246903,Fixed,Widowed,35,PhD,Rural,Moderate,0
Good,1.1590315231844766,12,188501,270961,39285.20824563242,0.8550152669733563,Primary Residence,26066.49625846749,Variable,Divorced,24,Masters,Rural,Low,0
Excellent,0.7638211242307115,9,83105,392945,9261.142594204346,0.9764314532715664,Primary Residence,39293.046285868186,Fixed,Divorced,25,Masters,Urban,Low,0
Poor,0.4161053730108808,5,23801,152295,7580.716142570997,0.9502234732422534,Vacation Home,21742.071259385943,Variable,Married,21,PhD,Suburban,High,1
Fair,0.963270769431385,10,158485,394577,32808.93429412983,0.9168503630618869,Primary Residence,31344.195652267892,Fixed,Divorced,22,PhD,Suburban,Low,0
Excellent,0.15646739299383278,3,130375,152535,19881.519195165194,0.8696592965865854,Vacation Home,40851.586240971716,Variable,Single,29,Masters,Suburban,High,0
Poor,0.5566383557795549,13,37665,320456,5548.328697821897,0.9826861450625924,Rental,23668.325041363092,Fixed,Divorced,43,High School,Rural,High,1
Poor,0.7559797924275884,16,116636,134767,28751.89768218452,0.7866547620546237,Rental,20414.08264692483,Fixed,Divorced,67,PhD,Rural,High,0
Good,0.3071416677531682,19,129391,112263,26877.441908095152,0.7605850377408839,Rental,9027.847855174965,Fixed,Married,52,Masters,Urban,Low,0
Excellent,1.4785162686271753,1,28187,214957,2223.419127027129,0.9896564469776414,Primary Residence,41227.49430385816,Fixed,Widowed,39,Bachelor,Rural,Low,0
Poor,0.39273631042546,9,84989,356095,13158.880843241837,0.963046712693967,Rental,39788.947576913684,Fixed,Divorced,41,Masters,Urban,Low,0
Fair,0.28249438206057176,2,45784,420263,14172.623909141825,0.966276774521807,Rental,37157.52237364655,Fixed,Widowed,51,Masters,Urban,Moderate,0
Fair,0.38494882344165493,6,69454,221701,11435.60568129842,0.9484187907077621,Vacation Home,19665.797656545197,Variable,Single,49,High School,Suburban,Moderate,0
Good,1.1766855864236139,6,164877,478222,34078.474051147234,0.9287392172439846,Vacation Home,29159.532675150673,Variable,Widowed,22,Bachelor,Rural,Moderate,0
Poor,0.6957079229805798,0,61715,417048,10278.128863680498,0.9753550457892604,Vacation Home,6199.339134520843,Fixed,Divorced,23,PhD,Rural,High,1
Excellent,0.8915823156535532,7,73411,206450,3621.2059954751767,0.9824596464254048,Rental,15975.94183119403,Fixed,Widowed,23,Masters,Urban,Moderate,0
Fair,0.12941281978090505,0,140451,335537,24824.016448136328,0.9260170519253128,Vacation Home,21776.34801271523,Variable,Single,58,Masters,Suburban,Moderate,0
Poor,0.14820383200264037,7,62186,188238,18127.023060483785,0.9037015742810495,Rental,2176.962138609478,Variable,Divorced,50,High School,Urban,Moderate,0
Poor,0.7241557697578226,13,93111,152677,29341.93907132848,0.8078169005722637,Primary Residence,5179.381101513309,Variable,Single,28,Masters,Urban,Moderate,0
Good,1.243317340482273,13,127729,418594,21678.946802166203,0.9482100870959302,Rental,41486.22492652442,Fixed,Divorced,49,Masters,Urban,High,1
Fair,1.3393344301905914,1,48093,379151,11285.2273706226,0.9702355331500573,Vacation Home,48560.19545730752,Fixed,Married,48,PhD,Rural,High,0
Fair,0.22138919463389628,7,94625,386698,30568.732681535934,0.920949338549628,Vacation Home,16099.50820738561,Fixed,Single,44,Masters,Rural,Low,0
Excellent,0.8537083429414318,18,42474,341760,14499.567484191548,0.9575738310972859,Vacation Home,5337.0321829812665,Variable,Divorced,58,High School,Rural,Low,0
Fair,1.3785215607909787,9,28154,473987,-430.5307679192365,1.0009083176709894,Vacation Home,46769.61719402484,Fixed,Single,54,Masters,Suburban,High,0
